Species	Chemical Name	Freq-GHz	Freq Er		Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3CHOv=0	Acetaldehyde	703.26744	0.0002627	21(8,14)-21(7,15)E	-2.98014	225.25190	324.08537	248.71038	357.83670	JPL
CH3CHOv=0	Acetaldehyde	703.29010	0.0002625	16(8,8)-16(7,9)E	-3.02828	164.22660	236.28409	187.68583	270.03649	JPL
CH3CHOv=0	Acetaldehyde	703.35808	0.0002625	15(8,7)-15(7,8)E	-3.04410	153.94110	221.48563	177.40260	255.24130	JPL
CH3CHOv=0	Acetaldehyde	703.41470	0.0002625	14(8,6)-14(7,7)E	-3.06389	144.29880	207.61259	167.76219	241.37098	JPL
CH3CHOv=0	Acetaldehyde	703.42349	0.0002609	20(8,13)-20(7,14)E	-2.98668	211.74600	304.65351	235.20968	338.41232	JPL
CH3CHOv=0	Acetaldehyde	703.46131	0.0002625	13(8,5)-13(7,6)E	-3.08936	135.29970	194.66497	158.76464	228.42559	JPL
CH3CHOv=0	Acetaldehyde	703.49922	0.0002624	12(8,4)-12(7,5)E	-3.12332	126.94380	182.64276	150.41001	216.40521	JPL
CH3CHOv=0	Acetaldehyde	703.52961	0.0002623	11(8,3)-11(7,4)E	-3.17035	119.23100	171.54583	142.69822	205.30973	JPL
CH3CHOv=0	Acetaldehyde	703.55358	0.0002622	10(8,2)-10(7,3)E	-3.24005	112.16110	161.37388	135.62912	195.13893	JPL
CH3CHOv=0	Acetaldehyde	703.56025	0.00026		19(8,12)-19(7,13)E	-2.99437	198.88400	286.14807	222.35224	319.91344	JPL
CH3CHOv=0	Acetaldehyde	703.57214	0.0002621	9(8,1)-9(7,2)E		-3.35426	105.73420	152.12705	129.20284	185.89300	JPL
CH3CHOv=0	Acetaldehyde	703.58621	0.0002621	8(8,0)-8(7,1)E		-3.58500	99.95010	143.80507	123.41921	177.57169	JPL
CH3CHOv=0	Acetaldehyde	703.67948	0.0002597	18(8,11)-18(7,12)E	-3.00337	186.66570	268.56876	210.13792	302.33985	JPL
CH3CHOv=0	Acetaldehyde	703.78282	0.0002596	17(8,10)-17(7,11)E	-3.01408	175.09120	251.91573	198.56687	285.69179	JPL
CH3CHOv=0	Acetaldehyde	703.81046	0.0015507	34(3,32)-33(2,31)E	-2.43688	372.69211	536.21773	396.16870	569.99511	JPL
CH3CHOv=0	Acetaldehyde	703.87185	0.0002598	16(8,9)-16(7,10)E	-3.02694	164.16030	236.18869	187.63894	269.96902	JPL
CH3CHOv=0	Acetaldehyde	703.91522	0.0015438	34(3,32)-33(2,31)A	-2.43587	372.71361	536.24866	396.19369	570.03107	JPL
CH3CHOv=0	Acetaldehyde	703.94803	0.0002599	15(8,8)-15(7,9)E	-3.04276	153.87290	221.38751	177.35408	255.17149	JPL
CH3CHOv=0	Acetaldehyde	704.01275	0.0002601	14(8,7)-14(7,8)E	-3.06264	144.22880	207.51188	167.71214	241.29897	JPL
CH3CHOv=0	Acetaldehyde	704.06732	0.0002602	13(8,6)-13(7,7)E	-3.08812	135.22810	194.56195	158.71326	228.35166	JPL
CH3CHOv=0	Acetaldehyde	704.11293	0.0002603	12(8,5)-12(7,6)E	-3.12197	126.87070	182.53759	150.35738	216.32949	JPL
CH3CHOv=0	Acetaldehyde	704.15071	0.0002604	11(8,4)-11(7,5)E	-3.16910	119.15640	171.43849	142.64434	205.23221	JPL
