Species	Chemical Name	Freq-GHz	Freq Err	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3CHOv=0	Acetaldehyde	686.57922	0.0025933	45(8,37)-45(7,38)A	-2.58885	742.96161	1068.94988	765.86343	1101.90030	JPL
CH3CHOv=0	Acetaldehyde	686.61779	0.0025179	45(8,37)-45(7,38)E	-2.80066	742.99281	1068.99477	765.89591	1101.94704	JPL
CH3CHOv=0	Acetaldehyde	686.76151	0.0034394	24(13,11)-25(12,13)E	-3.85256	434.04890	624.49595	456.95680	657.45512	JPL
CH3CHOv=0	Acetaldehyde	686.95549	0.0025718	45(8,38)-45(7,39)E	-2.80021	742.95601	1068.94182	765.87038	1101.91030	JPL
CH3CHOv=0	Acetaldehyde	687.11914	0.0014051	35(4,31)-34(4,30)A	-1.40585	410.51711	590.63915	433.43694	623.61548	JPL
CH3CHOv=0	Acetaldehyde	687.15339	0.001404	35(4,31)-34(4,30)E	-1.40587	410.49951	590.61383	433.42048	623.59180	JPL
