Species	Chemical Name	Freq-GHz	Freq Err	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3CHOv=0	Acetaldehyde	689.55246	0.0004077	26(5,22)-26(3,23)E	-3.89056	242.13031	348.36950	265.13130	381.46261	JPL
CH3CHOv=0	Acetaldehyde	689.59616	0.0020422	43(8,35)-43(7,36)A	-2.56277	685.58261	986.39477	708.58506	1019.48998	JPL
CH3CHOv=0	Acetaldehyde	689.64752	0.0020741	43(8,36)-43(7,37)E	-2.81862	685.59161	986.40772	708.59578	1019.50539	JPL
CH3CHOv=0	Acetaldehyde	689.66645	0.0019826	43(8,35)-43(7,36)E	-2.81847	685.61151	986.43635	708.61631	1019.53493	JPL
CH3CHOv=0	Acetaldehyde	689.98343	0.0136023	46(4,42)-45(5,41)A	-2.96714	706.58671	1016.61481	729.60208	1049.72861	JPL
CH3CHOv=0	Acetaldehyde	690.12743	0.0004103	26(5,22)-26(3,23)A	-3.83744	242.14761	348.39439	265.16778	381.51510	JPL
CH3CHOv=0	Acetaldehyde	690.15978	0.0020036	43(8,36)-43(7,37)A	-2.56174	685.56271	986.36614	708.58396	1019.48840	JPL
CH3CHOv=0	Acetaldehyde	690.26381	0.0019381	43(8,35)-43(7,37)E	-2.91251	685.59161	986.40772	708.61633	1019.53497	JPL
